db,object_type,count
adventureworks2014,"BASE TABLE",27
adventureworks2014,"INDEX (BTREE)",115
adventureworks2014,VIEW,14
airline,"BASE TABLE",19
airline,"INDEX (BTREE)",69
airline,VIEW,11
financial_ijs,"BASE TABLE",9
financial_ijs,"INDEX (BTREE)",21
information_schema,"SYSTEM VIEW",79
lahman_2014,"BASE TABLE",25
lahman_2014,"INDEX (BTREE)",104
lahman_2014,VIEW,12
mysql,"BASE TABLE",38
mysql,"INDEX (BTREE)",92
performance_schema,"BASE TABLE",111
performance_schema,"INDEX (HASH)",227
sat,"BASE TABLE",36
sat,"INDEX (BTREE)",104
sat,VIEW,7
sys,"BASE TABLE",1
sys,FUNCTION,22
sys,"INDEX (BTREE)",1
sys,PROCEDURE,26
sys,TRIGGER,2
sys,VIEW,100
